"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0628";"12W-31";"PBUI";"2016-11-22 12:09:25";"2016-11-22 12:14:22";297;136,686209389276;"390";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479812957390.gpx"
"0624";"12W-27";"PBUI";"2016-11-22 12:17:08";"2016-11-22 12:22:46";338;263,404379070192;"182";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479813419182.gpx"
"0623";"12W-26";"PBUI";"2016-11-22 12:26:20";"2016-11-22 12:31:35";315;162,310235439416;"550";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479813972550.gpx"
"0622";"12W-25";"PBUI";"2016-11-22 12:34:47";"2016-11-22 12:41:04";377;270,722774043556;"329";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479814478329.gpx"
"0618";"12W-21";"PBUI";"2016-11-22 12:45:26";"2016-11-22 12:50:16";290;183,974193899977;"907";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815116907.gpx"
"0616";"12W-19";"PBUI";"2016-11-22 12:58:50";"2016-11-22 13:04:09";319;338,981365346704;"562";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815920562.gpx"
"0612";"12W-15";"PBUI";"2016-11-22 13:06:30";"2016-11-22 13:10:34";244;215,298554723848;"997";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479816379997.gpx"
"0611";"12W-14";"PBUI";"2016-11-22 13:12:05";"2016-11-22 13:17:04";299;242,713703433564;"635";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479816716635.gpx"
"0610";"12W-13";"PBUI";"2016-11-22 13:18:27";"2016-11-22 13:22:52";265;202,218010739128;"908";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479817096908.gpx"
"0607";"12W-10";"PBUI";"2016-11-22 13:26:03";"2016-11-22 13:31:49";346;213,914128141547;"248";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479817552248.gpx"
"0559";"3W-03";"PVIC";"2016-11-23 10:58:15";"2016-11-23 11:02:12";237;237,736315633549;"250";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895086250.gpx"
"0560";"3W-04";"PVIC";"2016-11-23 11:03:39";"2016-11-23 11:08:36";297;281,045346051543;"021";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895404021.gpx"
"0562";"3W-06";"PVIC";"2016-11-23 11:10:25";"2016-11-23 11:14:21";236;234,470821246727;"362";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895815362.gpx"
"0563";"3W-07";"PVIC";"2016-11-23 11:17:12";"2016-11-23 11:22:07";295;279,804966552232;"194";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479896222194.gpx"
"0564";"3W-08";"PVIC";"2016-11-23 11:23:30";"2016-11-23 11:27:33";243;264,200409285855;"430";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479896600430.gpx"
